OrderID,OrderDate,Region,Category,Sub-Category,CustomerSegment,PaymentMethod,ShipMode,Quantity,UnitPrice,Discount,Sales,Profit
O1056,2022-02-26,West,Toys,Laptop,Home Office,Debit Card,Standard,3,1989.05,0.32,4057.6619999999994,684.96
O1057,2022-02-27,North,Toys,Indoor,Consumer,Cash,Express,1,4538.12,0.12,3993.5456,674.13
O1058,2022-02-28,East,Clothing,Laptop,Home Office,Cash,Express,3,4496.88,0.07,12546.295199999999,2117.89
O1059,2022-03-01,North,Toys,Women,Home Office,UPI,Standard,1,1059.34,0.28,762.7248,128.75
O1060,2022-03-02,East,Toys,Indoor,Corporate,Cash,Standard,9,1940.72,0.1,15719.832,2653.6
O1061,2022-03-03,East,Home Appliances,Snacks,Home Office,UPI,Express,3,2823.81,0.19,6861.858300000001,1158.32
O1062,2022-03-04,North,Home Appliances,Snacks,Corporate,UPI,Standard,8,4271.28,0.05,32461.727999999996,5479.74
O1063,2022-03-05,North,Clothing,Vegetables,Home Office,Wallet,Standard,6,2683.37,0.29,11431.1562,1929.65
O1064,2022-03-06,East,Electronics,Indoor,Home Office,Debit Card,Express,3,4842.59,0.16,12203.3268,2060.0
O1065,2022-03-07,,Clothing,Outdoor,Home Office,UPI,Same Day,9,4005.31,0.06,33884.9226,5719.98
O1066,2022-03-08,West,Clothing,Outdoor,Home Office,Credit Card,Standard,8,4767.8,0.3,26699.68,4507.07
O1067,2022-03-09,North,Groceries,Laptop,Home Office,Credit Card,Standard,3,3670.89,0.04,10572.163199999999,1784.65
O1068,2022-03-10,West,Groceries,Kids,Home Office,Debit Card,Same Day,7,4394.24,0.23,23684.9536,3998.16
O1069,2022-03-11,South,Clothing,Vegetables,Corporate,UPI,Standard,5,4163.47,0.24,15821.186000000002,2670.71
O1070,2022-03-12,South,Clothing,Laptop,Corporate,Debit Card,Express,2,1306.5,0.37,1646.19,277.89
O1071,2022-03-13,South,Clothing,Vegetables,Consumer,Wallet,Standard,8,1186.21,0.06,8920.2992,1505.8
O1072,2022-03-14,North,Toys,Laptop,Home Office,Credit Card,Express,1,4328.7,0.26,3203.238,540.73
O1073,2022-03-15,South,Groceries,Outdoor,Corporate,Cash,Same Day,4,469.15,0.15,1595.11,269.26
O1074,2022-03-16,North,Clothing,Vegetables,Home Office,Credit Card,Same Day,4,2072.39,0.16,6963.2303999999995,1175.44
O1075,2022-03-17,South,Home Appliances,Indoor,Home Office,UPI,Same Day,5,4112.26,0.2,16449.040000000005,2776.7
O1076,2022-03-18,West,Home Appliances,Snacks,Corporate,Debit Card,Standard,4,4075.53,0.09,14834.9292,2504.23
O1077,2022-03-19,West,Toys,Washing Machine,Home Office,Credit Card,Same Day,1,736.97,0.18,604.3154000000001,102.01
O1078,2022-03-20,East,Toys,Headphones,Corporate,Cash,Standard,7,2464.16,0.27,12591.8576,2125.58
O1079,2022-03-21,,Electronics,Washing Machine,Corporate,Cash,Standard,2,2425.17,0.18,3977.2788000000005,671.39
O1080,2022-03-22,East,Electronics,TV,Consumer,Debit Card,Standard,3,1652.42,0.02,4858.1148,820.08
O1081,2022-03-23,,Electronics,Kids,Consumer,Debit Card,Same Day,5,4590.05,0.1,20655.225000000002,3486.73
O1082,2022-03-24,North,Toys,Snacks,Consumer,Credit Card,Same Day,8,3282.93,0.14,22586.558399999998,3812.75
O1083,2022-03-25,West,Toys,Kids,Consumer,UPI,Standard,8,4901.93,0.14,33725.2784,5693.03
O1084,2022-03-26,East,Toys,Kids,Home Office,Wallet,Same Day,2,380.49,0.03,738.1506,124.6
O1085,2022-03-27,East,Home Appliances,TV,Home Office,Cash,Standard,9,2002.03,0.18,14774.9814,2494.11
O1086,2022-03-28,South,Toys,Washing Machine,Consumer,Debit Card,Same Day,6,4183.93,0.28,18074.5776,3051.1
O1087,2022-03-29,North,Home Appliances,Outdoor,Corporate,Wallet,Express,9,2142.29,0.02,18894.9978,3189.59
O1088,2022-03-30,West,Electronics,TV,Corporate,Wallet,Same Day,4,1346.3,0.3,3769.6399999999994,636.34
O1089,2022-03-31,South,Electronics,Outdoor,Corporate,Wallet,Same Day,3,4989.15,0.38,9279.819,1566.49
O1090,2022-04-01,West,Electronics,Women,Corporate,UPI,Same Day,5,4371.97,0.0,21859.850000000002,3690.08
O1091,2022-04-02,West,Clothing,Outdoor,Home Office,Debit Card,Standard,5,2755.04,0.08,12673.184000000001,2139.31
O1092,2022-04-03,South,Clothing,Microwave,Corporate,Cash,Standard,4,2830.46,0.22,8831.0352,1490.73
O1093,2022-04-04,South,Groceries,Mobile,Corporate,Debit Card,Express,7,83.97,0.09,534.8889,90.29
O1094,2022-04-05,South,Groceries,Washing Machine,Consumer,Credit Card,Express,8,4905.92,0.31,27080.678399999997,4571.38
O1095,2022-04-06,South,Groceries,Washing Machine,Corporate,Cash,Express,5,4041.16,0.12,17781.104,3001.56
O1096,2022-04-07,South,Clothing,Mobile,Home Office,Debit Card,Standard,9,231.81,0.12,1835.9352,309.92
O1097,2022-04-08,West,Clothing,Washing Machine,Corporate,Cash,Express,7,922.83,0.0,6459.81,1090.46
O1098,2022-04-09,South,Groceries,Snacks,Corporate,Credit Card,Express,7,4114.1,0.11,25630.843000000004,4326.64
O1099,2022-04-10,North,Groceries,Fruits,Home Office,Cash,Same Day,8,479.98,0.09,3494.2544000000003,589.85
O1100,2022-04-11,East,Toys,Snacks,Consumer,Wallet,Express,4,4711.84,0.14,16208.7296,2736.13
O1101,2022-04-12,South,Groceries,Outdoor,Home Office,UPI,Same Day,6,4999.46,0.06,28196.9544,4759.82
O1102,2022-04-13,South,Toys,Refrigerator,Consumer,Credit Card,Standard,5,4437.84,0.24,16863.792,2846.71
O1103,2022-04-14,West,Home Appliances,Headphones,Corporate,Cash,Standard,1,3707.57,0.1,3336.813,563.27
O1104,2022-04-15,South,Clothing,Mobile,Consumer,Credit Card,Same Day,9,2462.05,0.33,14846.161499999998,2506.12
O1105,2022-04-16,South,Groceries,Outdoor,Consumer,Wallet,Express,2,458.03,0.11,815.2934,137.63
O1106,2022-04-17,South,Clothing,Headphones,Consumer,UPI,Standard,6,3665.71,0.08,20234.719200000003,3415.74
O1107,2022-04-18,West,Clothing,Vegetables,Corporate,Credit Card,Same Day,8,2014.48,0.02,15793.5232,2666.04
O1108,2022-04-19,South,Clothing,Microwave,Consumer,Wallet,Standard,3,2872.63,0.3,6032.522999999999,1018.33
O1109,2022-04-20,East,Home Appliances,TV,Consumer,Wallet,Standard,5,1502.28,0.2,6009.12,1014.38
O1110,2022-04-21,West,Electronics,Laptop,Corporate,Wallet,Express,7,1248.67,0.05,8303.6555,1401.71
O1111,2022-04-22,East,Groceries,Women,Home Office,Cash,Standard,4,1655.27,0.09,6025.1828000000005,1017.09
O1112,2022-04-23,West,Electronics,Women,Home Office,Debit Card,Same Day,5,4078.45,0.4,12235.35,2065.4
O1113,2022-04-24,South,Electronics,Women,Home Office,Credit Card,Express,1,2161.13,0.32,1469.5683999999999,248.07
O1114,2022-04-25,East,Electronics,Microwave,Corporate,Debit Card,Same Day,4,1592.95,0.14,5479.7480000000005,925.01
O1115,2022-04-26,West,Clothing,Vegetables,Corporate,Wallet,Same Day,7,2193.2,0.22,11974.872,2021.43
O1116,2022-04-27,North,Toys,Vegetables,Home Office,Debit Card,Same Day,7,209.82,0.17,1219.0542,205.78
O1117,2022-04-28,South,Clothing,Snacks,Consumer,Wallet,Express,4,4458.49,0.01,17655.6204,2980.38
O1118,2022-04-29,West,Clothing,Microwave,Home Office,Wallet,Standard,6,2781.22,0.31,11514.2508,1943.68
O1119,2022-04-30,North,Electronics,Refrigerator,Corporate,UPI,Same Day,5,568.89,0.29,2019.5594999999998,340.91
O1120,2022-05-01,West,Clothing,Kids,Consumer,UPI,Standard,1,1477.61,0.16,1241.1924,209.52
O1121,2022-05-02,North,Electronics,Headphones,Consumer,Debit Card,Standard,8,4918.59,0.34,25970.155199999997,4383.92
O1122,2022-05-03,South,Toys,Indoor,Corporate,Credit Card,Same Day,7,2985.63,0.21,16510.533900000002,2787.08
O1123,2022-05-04,East,Groceries,Outdoor,Consumer,Debit Card,Standard,5,1492.45,0.03,7238.3825,1221.88
O1124,2022-05-05,North,Electronics,Headphones,Home Office,Credit Card,Express,7,2160.41,0.1,13610.582999999999,2297.55
O1125,2022-05-06,West,Toys,Men,Corporate,Debit Card,Express,3,1329.45,0.18,3270.4470000000006,552.07
O1126,2022-05-07,South,Groceries,Mobile,Corporate,Cash,Standard,8,207.43,0.04,1593.0624,268.92
O1127,2022-05-08,North,Home Appliances,Laptop,Corporate,Cash,Standard,5,4218.05,0.23,16239.4925,2741.32
O1128,2022-05-09,West,Electronics,Outdoor,Corporate,Credit Card,Express,2,1497.77,0.05,2845.763,480.38
O1129,2022-05-10,West,Electronics,Kids,Consumer,UPI,Standard,2,4200.13,0.08,7728.239200000001,1304.57
O1130,2022-05-11,West,Home Appliances,Refrigerator,Corporate,Credit Card,Standard,4,2418.86,0.36,6192.2816,1045.29
O1131,2022-05-12,North,Home Appliances,Outdoor,Corporate,Debit Card,Standard,7,955.33,0.4,4012.386,677.32
O1132,2022-05-13,North,Electronics,Washing Machine,Consumer,Wallet,Standard,4,4019.25,0.22,12540.060000000001,2116.84
O1133,2022-05-14,North,Home Appliances,Men,Corporate,Cash,Same Day,9,1916.7,0.25,12937.724999999999,2183.97
O1134,2022-05-15,East,Clothing,TV,Consumer,Wallet,Standard,2,3553.26,0.32,4832.4336,815.74
O1135,2022-05-16,North,Groceries,Snacks,Consumer,Cash,Express,6,4194.29,0.28,18119.332799999996,3058.65
O1136,2022-05-17,North,Groceries,Snacks,Corporate,Debit Card,Same Day,4,4816.78,0.07,17918.421599999998,3024.74
O1137,2022-05-18,North,Groceries,Men,Home Office,Cash,Same Day,6,474.78,0.16,2392.8911999999996,403.93
O1138,2022-05-19,East,Clothing,Snacks,Corporate,Credit Card,Express,9,91.51,0.21,650.6361,109.83
O1139,2022-05-20,North,Home Appliances,Refrigerator,Home Office,Wallet,Standard,9,2764.7,0.14,21398.778,3612.24
O1140,2022-05-21,West,Toys,Fruits,Consumer,Wallet,Same Day,9,1357.99,0.07,11366.3763,1918.71
O1141,2022-05-22,North,Home Appliances,Men,Home Office,Debit Card,Same Day,9,2372.05,0.29,15157.3995,2558.66
O1142,2022-05-23,West,Electronics,Men,Corporate,Wallet,Standard,3,409.66,0.08,1130.6616000000001,190.86
O1143,2022-05-24,West,Groceries,Refrigerator,Corporate,Debit Card,Standard,9,2532.87,0.1,20516.247,3463.27
O1144,2022-05-25,West,Home Appliances,Fruits,Home Office,UPI,Express,3,668.04,0.11,1783.6668,301.09
O1145,2022-05-26,East,Toys,Beverages,Corporate,Credit Card,Same Day,3,4201.01,0.06,11846.8482,1999.82
O1146,2022-05-27,East,Electronics,TV,Home Office,Cash,Standard,5,3809.46,0.34,12571.217999999997,2122.1
O1147,2022-05-28,East,Clothing,Outdoor,Consumer,Cash,Standard,6,416.66,0.24,1899.9696000000001,320.73
O1148,2022-05-29,North,Clothing,Women,Home Office,Cash,Express,9,4189.93,0.33,25265.277899999997,4264.93
O1149,2022-05-30,West,Toys,TV,Home Office,UPI,Same Day,1,1658.54,0.2,1326.832,223.98
O1150,2022-05-31,East,Electronics,Women,Home Office,Credit Card,Standard,8,1796.66,0.21,11354.891200000002,1916.77
O1151,2022-06-01,East,Groceries,Headphones,Home Office,Wallet,Express,4,940.03,0.25,2820.09,476.05
O1152,2022-06-02,North,Home Appliances,Indoor,Consumer,Wallet,Same Day,7,4184.76,0.15,24899.322,4203.16
O1153,2022-06-03,East,Electronics,Headphones,Consumer,Credit Card,Same Day,6,2053.29,0.2,9855.792000000001,1663.72
O1154,2022-06-04,North,Clothing,Men,Consumer,Credit Card,Same Day,6,291.74,0.22,1365.3432,230.48
O1155,2022-06-05,South,Toys,Vegetables,Home Office,Cash,Same Day,7,4832.94,0.38,20974.959599999995,3540.7
O1156,2022-06-06,East,Toys,Men,Consumer,Wallet,Express,4,1316.64,0.35,3423.2640000000006,577.87
O1157,2022-06-07,South,Home Appliances,Microwave,Corporate,Credit Card,Standard,6,4684.08,0.05,26699.255999999998,4507.0
O1158,2022-06-08,North,Toys,Washing Machine,Consumer,Wallet,Same Day,3,1541.13,0.02,4530.9222,764.85
O1159,2022-06-09,West,Toys,Refrigerator,Home Office,Credit Card,Same Day,5,4165.56,0.27,15204.294000000002,2566.58
O1160,2022-06-10,East,Electronics,Refrigerator,Corporate,Debit Card,Standard,2,3337.89,0.02,6542.2644,1104.37
O1161,2022-06-11,North,Groceries,Outdoor,Home Office,Cash,Same Day,3,4313.35,0.02,12681.249000000002,2140.67
O1162,2022-06-12,West,Home Appliances,Fruits,Corporate,Credit Card,Same Day,9,4881.78,0.06,41299.858799999995,6971.67
O1163,2022-06-13,West,Electronics,Fruits,Home Office,UPI,Standard,6,4363.84,0.14,22517.4144,3801.08
O1164,2022-06-14,South,Groceries,Men,Home Office,Credit Card,Standard,3,2048.14,0.17,5099.8686,860.89
O1165,2022-06-15,North,Electronics,Headphones,Corporate,Debit Card,Same Day,2,4081.79,0.21,6449.2282000000005,1088.67
O1166,2022-06-16,West,Electronics,Women,Consumer,UPI,Standard,5,3572.67,0.4,10718.009999999998,1809.27
O1167,2022-06-17,East,Toys,Men,Corporate,UPI,Express,5,354.94,0.15,1508.495,254.64
O1168,2022-06-18,East,Groceries,Kids,Corporate,Credit Card,Express,1,4652.31,0.1,4187.079000000001,706.8
O1169,2022-06-19,South,Home Appliances,Women,Corporate,Debit Card,Same Day,3,2356.51,0.23,5443.538100000001,918.9
O1170,2022-06-20,West,Home Appliances,Snacks,Corporate,UPI,Same Day,7,715.53,0.09,4557.926100000001,769.41
O1171,2022-06-21,North,Groceries,Mobile,Corporate,Cash,Standard,9,2155.62,0.38,12028.359599999998,2030.46
O1172,2022-06-22,East,Toys,Kids,Home Office,,Standard,5,3035.55,0.1,13659.975,2305.89
O1173,2022-06-23,West,Clothing,Fruits,Home Office,Wallet,Same Day,4,2886.08,0.4,6926.592,1169.25
O1174,2022-06-24,West,Electronics,Men,Consumer,Wallet,Same Day,3,2895.23,0.17,7209.1227,1216.94
O1175,2022-06-25,,Toys,Refrigerator,Consumer,Debit Card,Express,9,1316.4,0.33,7937.892,1339.96
O1176,2022-06-26,East,Groceries,Women,Corporate,UPI,Standard,7,3181.88,0.26,16482.1384,2782.28
O1177,2022-06-27,East,Electronics,Kids,Consumer,Cash,Same Day,7,4541.7,0.37,20028.896999999997,3381.0
O1178,2022-06-28,North,Home Appliances,Outdoor,Consumer,Cash,Same Day,8,1973.9,0.25,11843.400000000001,1999.24
O1179,2022-06-29,East,Clothing,Refrigerator,Corporate,Debit Card,Standard,1,3171.37,0.23,2441.9549,412.22
O1180,2022-06-30,North,Home Appliances,TV,Home Office,UPI,Standard,4,1257.74,0.26,3722.9104,628.45
O1181,2022-07-01,East,Groceries,Kids,Home Office,,Same Day,5,288.99,0.31,997.0155,168.3
O1182,2022-07-02,South,Electronics,Laptop,Consumer,Credit Card,Same Day,5,2949.37,0.36,9437.983999999999,1593.19
O1183,2022-07-03,East,Groceries,Microwave,Home Office,Cash,Same Day,1,285.37,0.11,253.9793,42.87
O1184,2022-07-04,North,Electronics,Kids,Home Office,Debit Card,Standard,3,3631.74,0.08,10023.6024,1692.04
O1185,2022-07-05,North,Toys,Indoor,Consumer,Debit Card,Same Day,2,3368.25,0.01,6669.135,1125.79
O1186,2022-07-06,South,Clothing,Fruits,Corporate,Credit Card,Same Day,7,1878.16,0.15,11175.052,1886.42
O1187,2022-07-07,East,Toys,Outdoor,Consumer,Wallet,Same Day,5,2085.89,0.34,6883.436999999998,1161.97
O1188,2022-07-08,East,Toys,Indoor,Consumer,Cash,Express,3,4592.92,0.03,13365.3972,2256.16
O1189,2022-07-09,South,Groceries,Fruits,Consumer,Debit Card,Express,8,115.01,0.22,717.6624,121.15
O1190,2022-07-10,East,Clothing,Vegetables,Corporate,Cash,Standard,1,2838.35,0.28,2043.6119999999999,344.97
O1191,2022-07-11,,Electronics,Fruits,Corporate,Wallet,Same Day,1,4620.64,0.33,3095.8288,522.59
O1192,2022-07-12,North,Electronics,Women,Corporate,Debit Card,Same Day,6,4574.24,0.23,21132.9888,3567.38
O1193,2022-07-13,East,Home Appliances,Headphones,Corporate,Credit Card,Standard,1,2944.05,0.07,2737.9665,462.19
O1194,2022-07-14,East,Electronics,TV,Consumer,Cash,Standard,4,1937.09,0.39,4726.4996,797.86
O1195,2022-07-15,South,Groceries,Vegetables,Home Office,Credit Card,Standard,6,539.57,0.04,3107.9232,524.64
O1196,2022-07-16,South,Toys,Outdoor,Consumer,Wallet,Same Day,1,910.23,0.31,628.0586999999999,106.02
O1197,2022-07-17,West,Toys,Refrigerator,Corporate,,Express,9,3414.38,0.03,29807.5374,5031.69
O1198,2022-07-18,North,Toys,Snacks,Home Office,Cash,Standard,4,132.34,0.06,497.59839999999997,84.0
O1199,2022-07-19,East,Clothing,Outdoor,Consumer,Wallet,Same Day,9,4423.25,0.36,25477.920000000002,4300.83
O1200,2022-07-20,East,Electronics,Indoor,Home Office,UPI,Standard,9,2960.28,0.3,18649.764,3148.19
O1201,2022-07-21,West,Groceries,Women,Corporate,Cash,Same Day,6,273.48,0.15,1394.748,235.44
O1202,2022-07-22,East,Clothing,Men,Home Office,UPI,Standard,7,1236.85,0.26,6406.882999999999,1081.52
O1203,2022-07-23,,Home Appliances,Headphones,Home Office,Wallet,Same Day,1,2991.29,0.18,2452.8578,414.06
O1204,2022-07-24,West,Groceries,Laptop,Corporate,Cash,Standard,5,226.23,0.03,1097.2154999999998,185.22
O1205,2022-07-25,North,Groceries,Microwave,Home Office,UPI,Express,3,3910.94,0.29,8330.3022,1406.21
O1206,2022-07-26,West,Groceries,Refrigerator,Consumer,Wallet,Standard,6,4603.61,0.31,19058.945399999997,3217.27
O1207,2022-07-27,West,Toys,Washing Machine,Home Office,Debit Card,Standard,4,4808.04,0.35,12500.904,2110.23
O1208,2022-07-28,South,Groceries,Microwave,Consumer,Debit Card,Express,9,3681.61,0.22,25844.9022,4362.78
O1209,2022-07-29,North,Electronics,Indoor,Home Office,Credit Card,Standard,7,4291.29,0.27,21928.491899999997,3701.66
O1210,2022-07-30,East,Groceries,Outdoor,Home Office,Debit Card,Express,4,3073.0,0.18,10079.44,1701.47
O1211,2022-07-31,East,Toys,TV,Corporate,UPI,Same Day,6,2319.79,0.13,12109.3038,2044.12
O1212,2022-08-01,North,Groceries,Men,Corporate,Debit Card,Express,2,3580.02,0.16,6014.433599999999,1015.27
O1213,2022-08-02,East,Home Appliances,Men,Consumer,Cash,Express,3,1159.69,0.36,2226.6048,375.86
O1214,2022-08-03,East,Home Appliances,Beverages,Corporate,Cash,Same Day,7,593.43,0.07,3863.229299999999,652.14
O1215,2022-08-04,North,Toys,Outdoor,Corporate,Cash,Express,4,3821.16,0.1,13756.176,2322.13
O1216,2022-08-05,West,Electronics,Microwave,Corporate,Debit Card,Express,7,4793.02,0.24,25498.8664,4304.36
O1217,2022-08-06,North,Electronics,Refrigerator,Corporate,Debit Card,Same Day,9,2908.52,0.05,24867.845999999998,4197.84
O1218,2022-08-07,West,Clothing,Vegetables,Corporate,Credit Card,Standard,5,2438.58,0.36,7803.456,1317.27
O1219,2022-08-08,East,Toys,Kids,Consumer,Wallet,Standard,1,2695.3,0.02,2641.3940000000002,445.88
O1220,2022-08-09,East,Groceries,Microwave,Consumer,Credit Card,Express,5,2418.4,0.3,8464.4,1428.84
O1221,2022-08-10,,Toys,Men,Corporate,UPI,Standard,6,2238.89,0.15,11418.339,1927.48
O1222,2022-08-11,South,Clothing,Fruits,Corporate,Cash,Standard,2,4737.83,0.02,9286.1468,1567.56
O1223,2022-08-12,West,Toys,Kids,Consumer,Debit Card,Express,8,2424.83,0.34,12803.102399999998,2161.24
O1224,2022-08-13,South,Toys,Women,Home Office,Wallet,Same Day,2,451.46,0.26,668.1608,112.79
O1225,2022-08-14,South,Clothing,Kids,Consumer,Wallet,Standard,9,3839.31,0.0,34553.79,5832.89
O1226,2022-08-15,North,Electronics,Washing Machine,Home Office,Debit Card,Express,2,1988.23,0.11,3539.0494,597.41
O1227,2022-08-16,South,Groceries,Headphones,Corporate,Credit Card,Same Day,3,3567.93,0.14,9205.259399999999,1553.9
O1228,2022-08-17,North,Clothing,Outdoor,Corporate,Wallet,Standard,8,2918.87,0.13,20315.335199999998,3429.35
O1229,2022-08-18,North,Home Appliances,Kids,Consumer,Credit Card,Same Day,6,3580.24,0.2,17185.152,2900.96
O1230,2022-08-19,South,Electronics,Kids,Corporate,Debit Card,Express,1,356.87,0.21,281.9273,47.59
O1231,2022-08-20,West,Home Appliances,Kids,Home Office,Credit Card,Same Day,4,217.67,0.16,731.3711999999999,123.46
O1232,2022-08-21,West,Electronics,Laptop,Home Office,Cash,Same Day,5,1923.78,0.13,8368.443,1412.64
O1233,2022-08-22,West,Groceries,Vegetables,Consumer,Debit Card,Express,3,3481.17,0.2,8354.808,1410.34
